X,Y,CCN,REPORT_DAT,SHIFT,METHOD,OFFENSE,BLOCK,XBLOCK,YBLOCK,WARD,ANC,DISTRICT,PSA,NEIGHBORHOOD_CLUSTER,BLOCK_GROUP,CENSUS_TRACT,VOTING_PRECINCT,LATITUDE,LONGITUDE,BID,START_DATE,END_DATE,OBJECTID,OCTO_RECORD_ID
400212.850000001,137949.329999998,24169925,2024/11/01 19:24:33+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1300 - 1399 BLOCK OF 5TH STREET NE,400212.85,137949.33,5,5D,5,501,Cluster 23,008803 2,008803,Precinct 76,38.9094049494,-76.9975459006,,2024/11/01 18:24:00+00,2024/11/01 19:24:00+00,618324383,
397431.520000003,139108.27,24420260,2024/01/30 16:21:23+00,DAY,OTHERS,THEFT/OTHER,2200 - 2299 BLOCK OF 13TH STREET NW,397431.52,139108.27,1,1B,3,305,Cluster 3,004401 1,004401,Precinct 22,38.9198413409,-77.0296181714,,2023/12/22 18:08:00+00,2023/12/22 20:05:00+00,618324384,
403766.590000004,136258.390000001,24421239,2024/04/06 00:41:59+00,EVENING,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF 34TH PLACE NE,403766.59,136258.39,7,7D,6,603,Cluster 32,009604 2,009604,Precinct 101,38.8941643174,-76.9565815744,,2024/04/03 20:56:00+00,2024/04/03 20:56:00+00,618324385,
401630.369999997,130490.629999999,24421700,2024/05/15 05:22:49+00,MIDNIGHT,OTHERS,THEFT/OTHER,1501 - 1599 BLOCK OF MISSISSIPPI AVENUE SE,401630.37,130490.63,8,8E,7,704,Cluster 38,007304 4,007304,Precinct 120,38.8422125399,-76.9812199935,,2024/05/05 21:59:00+00,2024/05/05 22:02:00+00,618324386,
397430.659999996,136664.370000001,24048771,2024/04/01 21:44:10+00,EVENING,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF 13TH STREET NW,397430.66,136664.37,2,2C,2,209,Cluster 8,005802 1,005802,Precinct 129,38.8978258475,-77.0296189448,DOWNTOWN,2024/04/01 21:02:00+00,2024/04/01 21:05:00+00,618324391,
400335.109999999,131003.329999998,24074664,2024/05/18 23:31:15+00,EVENING,KNIFE,THEFT/OTHER,2730 - 2899 BLOCK OF MARTIN LUTHER KING JR AVENUE SE,400335.11,131003.33,8,8C,7,707,Cluster 39,010400 3,010400,Precinct 123,38.8468326159,-76.9961396645,,2024/05/18 19:53:00+00,2024/05/18 22:45:00+00,618324392,
397966.719999999,138877.34,24120884,2024/08/07 12:51:57+00,DAY,OTHERS,THEFT/OTHER,800 - 899 BLOCK OF V STREET NW,397966.72,138877.34,1,1B,3,305,Cluster 3,003500 3,003500,Precinct 37,38.9177624492,-77.0234458823,,2024/08/07 03:00:00+00,2024/08/07 11:30:00+00,618324395,
399333.630000003,129224.32,24122186,2024/08/09 22:46:03+00,EVENING,OTHERS,THEFT/OTHER,4000 - 4098 BLOCK OF SOUTH CAPITOL STREET,399333.63,129224.32,8,8D,7,708,Cluster 39,009807 1,009807,Precinct 124,38.8308063012,-77.0076745977,,2024/08/09 18:00:00+00,2024/08/09 20:00:00+00,618324396,
397162.060000002,140182.43,24124042,2024/08/13 18:12:14+00,DAY,OTHERS,THEFT/OTHER,3100 - 3299 BLOCK OF 14TH STREET NW,397162.06,140182.43,1,1A,3,302,Cluster 2,002802 1,002802,Precinct 39,38.9295168861,-77.0327298633,,2024/08/13 17:23:00+00,2024/08/13 18:00:00+00,618324397,
399622.270000003,134352.620000001,24110669,2024/07/19 19:52:05+00,EVENING,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF NEW JERSEY AVENUE SE,399622.27,134352.62,8,8F,1,106,Cluster 27,007203 1,007203,Precinct 131,38.8770044023,-77.004353141,CAPITOL RIVERFRONT,2024/07/19 18:56:00+00,2024/07/19 19:30:00+00,618324398,
398058.200000003,139487.719999999,24072440,2024/05/14 22:29:27+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,2400 - 2599 BLOCK OF GEORGIA AVENUE NW,398058.2,139487.72,1,1E,3,304,Cluster 2,003500 3,003500,Precinct 37,38.9232611572,-77.022392747,,2024/05/14 20:38:00+00,2024/05/14 21:58:00+00,618324399,
395153.460000001,140064.890000001,24073851,2024/05/17 13:01:42+00,DAY,OTHERS,THEFT F/AUTO,2700 - 2799 BLOCK OF CATHEDRAL AVENUE NW,395153.46,140064.89,3,3C,2,204,Cluster 15,000502 1,000502,Precinct 26,38.9284492664,-77.0558941426,,2024/05/16 19:30:00+00,2024/05/17 11:30:00+00,618324400,
395708.299999997,136984.039999999,24092877,2024/06/18 22:03:56+00,EVENING,OTHERS,THEFT/OTHER,2200 - 2299 BLOCK OF I STREET NW,395708.3,136984.04,2,2A,2,207,Cluster 5,010800 1,010800,Precinct 2,38.900698828,-77.0494760323,,2024/06/18 20:43:00+00,2024/06/18 20:57:00+00,618324401,
397423.920000002,144123.329999998,24094240,2024/06/21 06:14:30+00,MIDNIGHT,GUN,ROBBERY,13TH STREET NW AND RITTENHOUSE STREET NW,397423.91999556,144123.33001918,4,4A,4,402,Cluster 17,001804 2,001804,Precinct 60,38.9650184178,-77.0297246405,,2024/06/21 04:01:00+00,,618324402,
401668.814000003,135209.914999999,24423990,2024/10/23 13:41:14+00,DAY,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF 17TH STREET SE,401668.814047502,135209.915002906,7,7D,1,107,Cluster 26,006802 1,006802,Precinct 87,38.8847257464,-76.9807657082,,2024/10/16 16:00:00+00,2024/10/16 23:00:00+00,618324404,
398517.689999998,143504.91,24074080,2024/05/18 01:53:23+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,5700 - 5799 BLOCK OF 3RD PLACE NW,398517.69,143504.91,4,4B,4,402,Cluster 17,001902 1,001902,Precinct 64,38.9594500612,-77.017102609,,2024/05/17 18:28:00+00,2024/05/17 19:25:00+00,618324405,
397919.399999999,137069.629999999,24160461,2024/10/16 16:41:22+00,DAY,OTHERS,MOTOR VEHICLE THEFT,900 - 999 BLOCK OF 9TH STREET NW,397919.4,137069.63,2,2C,1,101,Cluster 8,005802 5,005802,Precinct 129,38.9014778676,-77.0239860552,DOWNTOWN,2024/10/12 20:30:00+00,2024/10/16 12:00:00+00,618324406,
398099.130000003,138551.789999999,24122833,2024/08/12 00:48:14+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,1800 - 1899 BLOCK OF 7TH STREET NW,398099.13,138551.79,1,1B,3,306,Cluster 3,004801 2,004801,Precinct 137,38.9148300832,-77.0219181528,,2024/08/11 04:27:00+00,2024/08/11 05:18:00+00,618324408,
398424.280000001,138824.850000001,24035787,2024/03/09 00:17:52+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,400 - 499 BLOCK OF ELM STREET NW,398424.28,138824.85,1,1B,3,306,Cluster 3,003400 3,003400,Precinct 37,38.9172905414,-77.0181696082,,2024/03/08 23:14:00+00,2024/03/09 00:15:00+00,618324409,
398107.840000004,140006.43,24009910,2024/01/21 03:39:50+00,EVENING,OTHERS,THEFT F/AUTO,500 - 699 BLOCK OF HOBART PLACE NW,398107.84,140006.43,1,1E,3,306,Cluster 2,003200 4,003200,Precinct 37,38.927933969,-77.0218217308,,2024/01/21 00:01:00+00,2024/01/21 00:42:00+00,618324410,
401508.579999998,137047.02,24151288,2024/09/30 14:23:53+00,DAY,OTHERS,THEFT/OTHER,812 - 899 BLOCK OF BLADENSBURG ROAD NE,401508.58,137047.02,5,5D,5,507,Cluster 23,008903 3,008903,Precinct 79,38.9012753565,-76.9826084878,,2024/09/30 14:10:00+00,2024/09/30 14:19:00+00,618324436,
397162.960000001,141848.859999999,24151737,2024/10/01 04:52:10+00,MIDNIGHT,OTHERS,MOTOR VEHICLE THEFT,4400 - 4499 BLOCK OF 14TH STREET NW,397162.96,141848.86,4,4E,4,404,Cluster 18,002501 2,002501,Precinct 48,38.9445285841,-77.0327263735,,2024/10/01 04:06:00+00,2024/10/01 04:40:00+00,618324437,
400232.916299999,135255.095600002,24040396,2024/03/17 12:25:19+00,DAY,OTHERS,THEFT/OTHER,600 - 669 BLOCK OF PENNSYLVANIA AVENUE SE,400232.916286169,135255.095578947,6,6B,1,107,Cluster 26,006500 1,006500,Precinct 89,38.8851343032,-76.9973154556,CAPITOL HILL,2024/03/17 11:45:00+00,2024/03/17 12:15:00+00,618324438,
401099.520000003,132959.879999999,24096274,2024/06/24 17:08:50+00,DAY,OTHERS,THEFT/OTHER,1300 - 1330 BLOCK OF W STREET SE,401099.52,132959.88,8,8A,7,701,Cluster 28,007503 1,007503,Precinct 114,38.8644574308,-76.9873308338,,2024/06/23 17:50:00+00,2024/06/24 14:00:00+00,618324489,
404842.8957,133103.724300001,24088735,2024/06/11 17:46:29+00,DAY,OTHERS,MOTOR VEHICLE THEFT,4052 - 4123 BLOCK OF SOUTHERN AVENUE SE,404842.895682447,133103.724312951,7,7B,6,605,Cluster 34,009902 2,009902,Precinct 110,38.865740593,-76.9441969613,,2024/06/11 15:09:00+00,2024/06/11 17:40:00+00,618324541,
403251.682499997,134270.765500002,24015064,2024/01/30 20:01:04+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,3100 - 3199 BLOCK OF M PLACE SE,403251.682464971,134270.765530034,7,7B,6,605,Cluster 34,009901 1,009901,Precinct 108,38.8762610937,-76.962526447,,2024/01/28 18:47:00+00,2024/01/30 19:33:00+00,618324566,
406686.539999999,135827.109999999,24113077,2024/07/24 01:45:14+00,EVENING,OTHERS,THEFT/OTHER,1 - 99 BLOCK OF 55TH STREET NE,406686.54,135827.11,7,7C,6,608,Cluster 33,007808 1,007808,Precinct 96,38.8902618286,-76.9229267899,,2024/07/22 22:30:00+00,2024/07/23 18:30:00+00,618324572,
395377.270000003,137400.25,24422226,2024/06/21 07:42:03+00,MIDNIGHT,OTHERS,THEFT/OTHER,1100 - 1199 BLOCK OF 25TH STREET NW,395377.27,137400.25,2,2A,2,207,Cluster 5,005503 1,005503,Precinct 4,38.904446516,-77.053295048,,2024/06/12 17:00:00+00,2024/06/14 15:30:00+00,618324573,
396832.670000002,138099.66,24422661,2024/07/29 04:42:38+00,MIDNIGHT,OTHERS,THEFT/OTHER,1520 - 1599 BLOCK OF 16TH STREET NW,396832.67,138099.66,2,2B,2,208,Cluster 6,005303 2,005303,Precinct 15,38.9107534921,-77.0365190971,,2024/05/28 01:00:00+00,2024/07/02 21:27:00+00,618324574,
398185.830300003,134605.682999998,24423222,2024/09/24 18:41:03+00,DAY,OTHERS,THEFT/OTHER,600 - 699 BLOCK OF I STREET SW,398185.830300269,134605.683002345,6,6D,1,103,Cluster 9,010202 2,010202,Precinct 142,38.8792823029,-77.020908026,SOUTHWEST,2024/09/05 21:14:00+00,2024/09/05 21:15:00+00,618324575,
395521.549999997,137007.07,24042636,2024/03/21 12:46:11+00,DAY,OTHERS,ROBBERY,900 - 915 BLOCK OF NEW HAMPSHIRE AVENUE NW,395521.55,137007.07,2,2A,2,207,Cluster 5,005601 3,005601,Precinct 3,38.9009053589,-77.0516290932,,2024/03/21 09:52:00+00,2024/03/21 10:00:00+00,618324581,
398315.719999999,137185.25,24046450,2024/03/28 16:52:37+00,DAY,OTHERS,THEFT/OTHER,500 - 599 BLOCK OF K STREET NW,398315.72,137185.25,6,6E,1,101,Cluster 8,004702 4,004702,Precinct 1,38.9025202624,-77.0194173908,MOUNT VERNON TRIANGLE CID,2024/03/28 14:10:00+00,2024/03/28 14:15:00+00,618324582,
401745.085000001,133271.827500001,24046873,2024/03/29 08:50:39+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,1700 - 1799 BLOCK OF T STREET SE,401745.084959572,133271.827513107,8,8A,6,607,Cluster 34,007605 2,007605,Precinct 112,38.8672665384,-76.9798915511,,2024/03/29 03:45:00+00,2024/03/29 06:44:00+00,618324583,
400436.770000003,140224.93,24050746,2024/04/05 16:36:21+00,DAY,OTHERS,THEFT/OTHER,3200 - 3299 BLOCK OF 8TH STREET NE,400436.77,140224.93,5,5F,5,502,Cluster 21,009201 1,009201,Precinct 74,38.9299042136,-76.9949627195,,2023/11/30 08:45:00+00,2024/03/26 05:20:00+00,618324584,
400331.892499998,135279.943500001,24052333,2024/04/08 15:29:59+00,DAY,OTHERS,THEFT/OTHER,300 - 399 BLOCK OF 7TH STREET SE,400331.892478261,135279.94354697,6,6B,1,107,Cluster 26,006600 2,006600,Precinct 89,38.8853581114,-76.9961746647,CAPITOL HILL,2024/04/08 14:57:00+00,2024/04/08 15:30:00+00,618324585,
399226.259999998,127956.75,24033181,2024/03/04 05:02:47+00,MIDNIGHT,GUN,ROBBERY,100 - 199 BLOCK OF JOLIET STREET SW,399226.26,127956.75,8,8D,7,708,Cluster 39,010900 2,010900,Precinct 126,38.819387345,-77.0089097554,,2024/03/04 03:17:00+00,2024/03/04 04:18:00+00,618324590,
396372.060000002,137666.859999999,24151143,2024/09/30 04:07:49+00,MIDNIGHT,OTHERS,THEFT/OTHER,1216 - 1299 BLOCK OF CONNECTICUT AVENUE NW,396372.06,137666.86,2,2B,2,208,Cluster 6,010700 2,010700,Precinct 17,38.9068529006,-77.0418276116,GOLDEN TRIANGLE,2024/09/30 00:00:00+00,2024/10/01 03:00:00+00,618324591,
398010.310000002,138697.329999998,24055371,2024/04/13 16:50:34+00,DAY,OTHERS,MOTOR VEHICLE THEFT,1900 - 1999 BLOCK OF 8TH STREET NW,398010.31,138697.33,1,1B,3,305,Cluster 3,004402 2,004402,Precinct 137,38.9161409594,-77.0229427215,,2024/04/13 15:53:00+00,2024/04/13 16:30:00+00,618324594,
401441.140000001,138592.640000001,24126134,2024/08/17 11:36:31+00,DAY,OTHERS,BURGLARY,2000 - 2005 BLOCK OF HECHT AVENUE NE,401441.14,138592.64,5,5D,5,506,Cluster 23,008803 1,008803,Precinct 76,38.9151989477,-76.9833827195,,2024/08/17 09:06:00+00,2024/08/17 09:45:00+00,618324595,
397916.843900003,137185.4901,24126445,2024/08/17 23:38:18+00,EVENING,OTHERS,THEFT F/AUTO,K STREET NW AND 9TH STREET NW,397916.84386802,137185.49014074,2,2C,1,101,Cluster 8,005802 5,005802,Precinct 129,38.9025215708,-77.0240158748,DOWNTOWN,2024/08/17 22:50:00+00,2024/08/17 23:36:00+00,618324596,
402240.325999998,136664.846099999,24004682,2024/01/10 12:25:16+00,DAY,OTHERS,MOTOR VEHICLE THEFT,600 - 669 BLOCK OF 21ST STREET NE,402240.326016032,136664.846140256,7,7D,5,507,Cluster 25,007903 1,007903,Precinct 80,38.8978310369,-76.9741738746,,2024/01/10 10:55:00+00,2024/01/10 11:42:00+00,618324597,
393627.399999999,141594.210000001,24007384,2024/01/15 15:03:59+00,DAY,OTHERS,THEFT F/AUTO,3700 - 3799 BLOCK OF UPTON STREET NW,393627.4,141594.21,3,3A,2,203,Cluster 15,000600 4,000600,Precinct 29,38.9422160925,-77.0735080721,,2024/01/14 21:30:00+00,2024/01/15 14:00:00+00,618324598,
397700.460000001,136611.23,24168028,2024/10/29 16:22:30+00,DAY,OTHERS,THEFT/OTHER,1000 - 1099 BLOCK OF F STREET NW,397700.46,136611.23,2,2C,2,209,Cluster 8,005802 5,005802,Precinct 129,38.8973478904,-77.0265085554,DOWNTOWN,2024/10/29 14:50:00+00,2024/10/29 15:40:00+00,618324603,
400865.649599999,130192.654199999,24157436,2024/10/11 02:55:47+00,EVENING,GUN,ROBBERY,1000 - 1299 BLOCK OF MISSISSIPPI AVENUE SE,400865.649598756,130192.65419825,8,8C,7,705,Cluster 39,007304 2,007304,Precinct 120,38.8395293249,-76.9900290768,,2024/10/10 23:00:00+00,2024/10/10 23:01:00+00,618324604,
395081.240000002,140795.59,24044059,2024/03/24 01:26:44+00,EVENING,OTHERS,THEFT F/AUTO,2700 - 2799 BLOCK OF ORDWAY STREET NW,395081.24,140795.59,3,3C,2,203,Cluster 15,001304 1,001304,Precinct 34,38.9350312329,-77.0567322778,,2024/03/22 20:00:00+00,2024/03/23 18:00:00+00,618324605,
399489.600000001,137576.25,24044789,2024/03/25 15:12:03+00,DAY,OTHERS,THEFT/OTHER,1200 - 1229 BLOCK OF 1ST STREET NE,399489.6,137576.25,6,6E,5,501,Cluster 25,010601 2,010601,Precinct 144,38.9060439932,-77.0058844882,NOMA,2024/03/25 15:00:00+00,2024/03/25 15:15:00+00,618324606,
396326.170000002,139306.489999998,24107552,2024/07/14 10:08:19+00,MIDNIGHT,OTHERS,ASSAULT W/DANGEROUS WEAPON,2400 - 2499 BLOCK OF 18TH STREET NW,396326.17,139306.49,1,1C,3,303,Cluster 1,003802 1,003802,Precinct 24,38.921623045,-77.0423654641,ADAMS MORGAN,2024/07/14 02:10:00+00,2024/07/14 03:26:00+00,618324607,
401135.869900003,135000.3803,24059505,2024/04/21 07:02:46+00,MIDNIGHT,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF E STREET SE,401135.869855007,135000.380250711,6,6B,1,106,Cluster 26,006900 2,006900,Precinct 91,38.8828390269,-76.9869086226,,2024/04/21 06:37:00+00,2024/04/21 07:01:00+00,618324608,
398477.729999997,137319.93,24060675,2024/04/23 16:56:17+00,DAY,OTHERS,THEFT F/AUTO,400 - 497 BLOCK OF L STREET NW,398477.73,137319.93,6,6E,1,101,Cluster 8,004703 1,004703,Precinct 1,38.9037338029,-77.0175499408,MOUNT VERNON TRIANGLE CID,2024/04/11 07:00:00+00,2024/04/23 15:00:00+00,618324609,
398413.280000001,137185.23,24061297,2024/04/24 19:56:49+00,EVENING,OTHERS,THEFT F/AUTO,444 - 499 BLOCK OF K STREET NW,398413.28,137185.23,6,6E,1,101,Cluster 8,004703 2,004703,Precinct 1,38.9025202637,-77.0182926605,MOUNT VERNON TRIANGLE CID,2024/04/18 20:00:00+00,2024/04/24 12:00:00+00,618324610,
394283.409999996,142275.719999999,24064451,2024/04/30 12:35:56+00,DAY,OTHERS,BURGLARY,4500 - 4529 BLOCK OF CONNECTICUT AVENUE NW,394283.41,142275.72,3,3F,2,203,Cluster 12,001200 2,001200,Precinct 33,38.9483598392,-77.065946665,,2024/04/30 08:45:00+00,2024/04/30 09:02:00+00,618324611,
397496.100000001,136376.739999998,24065375,2024/05/02 01:04:02+00,EVENING,OTHERS,THEFT/OTHER,1200 - 1299 BLOCK OF PENNSYLVANIA AVENUE NW,397496.1,136376.74,2,2C,2,209,Cluster 8,005802 3,005802,Precinct 129,38.8952349608,-77.0288635145,DOWNTOWN,2024/05/01 21:00:00+00,2024/05/01 21:36:00+00,618324612,
397115.329999998,137709.949999999,24085976,2024/06/06 21:30:31+00,EVENING,OTHERS,THEFT/OTHER,1400 - 1499 BLOCK OF N STREET NW,397115.33,137709.95,2,2F,2,208,Cluster 7,005203 1,005203,Precinct 17,38.9072438239,-77.0332584101,,2024/06/04 22:51:00+00,2024/06/04 23:00:00+00,618324613,
398273.490000002,136543.0,24088940,2024/06/12 00:26:56+00,EVENING,OTHERS,MOTOR VEHICLE THEFT,500 - 599 BLOCK OF 6TH STREET NW,398273.49,136543,2,2C,1,101,Cluster 8,005801 2,005801,Precinct 143,38.896734562,-77.0199026293,DOWNTOWN,2024/06/11 21:35:00+00,2024/06/11 22:41:00+00,618324614,
400436.0625,135043.815099999,24121550,2024/08/09 01:01:28+00,EVENING,OTHERS,THEFT/OTHER,400 - 499 BLOCK OF 8TH STREET SE,400436.062494358,135043.815098751,6,6B,1,106,Cluster 26,007000 2,007000,Precinct 90,38.8832309303,-76.9949741689,CAPITOL HILL,2024/08/08 17:10:00+00,2024/08/08 17:15:00+00,618324623,
397161.979999997,140549.550000001,24032526,2024/03/02 23:57:34+00,EVENING,KNIFE,MOTOR VEHICLE THEFT,3429 - 3464 BLOCK OF 14TH STREET NW,397161.98,140549.55,1,1A,4,408,Cluster 2,002801 1,002801,Precinct 41,38.9328240152,-77.0327323041,,2024/03/02 21:42:00+00,2024/03/02 23:30:00+00,618324647,
398185.289999999,138225.329999998,24149688,2024/09/27 17:49:34+00,DAY,OTHERS,THEFT F/AUTO,1600 - 1699 BLOCK OF MARION STREET NW,398185.29,138225.33,2,2G,3,308,Cluster 7,004801 1,004801,Precinct 18,38.9118894038,-77.0209238144,,2024/09/27 15:45:00+00,2024/09/27 16:50:00+00,618324649,
406010.229999997,135238.829999998,24055381,2024/04/13 16:37:31+00,DAY,GUN,ROBBERY,300 - 348 BLOCK OF 50TH STREET SE,406010.23,135238.83,7,7E,6,604,Cluster 33,009904 2,009904,Precinct 104,38.884967265,-76.9307275011,,2024/04/13 15:50:00+00,2024/04/13 16:30:00+00,618324674,
399616.390000001,138914.02,24059537,2024/04/21 08:27:15+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,140 - 199 BLOCK OF V STREET NE,399616.39,138914.02,5,5F,5,502,Cluster 21,008701 2,008701,Precinct 75,38.9180951431,-77.0044234521,,2024/04/21 07:49:00+00,2024/04/21 10:30:00+00,618324675,
396461.579999998,139469.98,24083714,2024/06/03 05:50:19+00,MIDNIGHT,GUN,ASSAULT W/DANGEROUS WEAPON,1734 - 1769 BLOCK OF EUCLID STREET NW,396461.58,139469.98,1,1C,3,303,Cluster 1,003802 2,003802,Precinct 35,38.9230963711,-77.0408048011,,2024/06/03 05:21:00+00,2024/06/03 05:23:00+00,618324684,
400637.950000003,136784.039999999,24083926,2024/06/04 00:45:36+00,EVENING,OTHERS,THEFT F/AUTO,10TH STREET NE AND G STREET NE,400637.95001455,136784.03999637,6,6A,1,104,Cluster 25,008402 2,008402,Precinct 82,38.8989074014,-76.9926457018,,2024/06/01 16:00:00+00,2024/06/01 22:00:00+00,618324685,
404953.68,134652.850000001,24106014,2024/07/11 07:53:03+00,MIDNIGHT,GUN,ROBBERY,700 - 799 BLOCK OF BURNS STREET SE,404953.68,134652.85,7,7E,6,605,Cluster 33,007707 1,007707,Precinct 106,38.8796951193,-76.9429092684,,2024/07/11 06:40:00+00,2024/07/11 07:50:00+00,618324686,
399446.259999998,138633.129999999,24106397,2024/07/12 00:23:53+00,EVENING,OTHERS,THEFT F/AUTO,33 - 119 BLOCK OF T STREET NE,399446.26,138633.13,5,5F,5,502,Cluster 21,008701 1,008701,Precinct 75,38.9155647023,-77.0063850147,,2024/07/11 02:00:00+00,2024/07/11 08:00:00+00,618324687,
398640.329999998,138139.91,24109554,2024/07/17 17:57:10+00,DAY,OTHERS,BURGLARY,300 - 399 BLOCK OF Q STREET NW,398640.33,138139.91,5,5E,3,308,Cluster 21,004600 2,004600,Precinct 19,38.9111207332,-77.015676982,,2024/07/17 12:45:00+00,2024/07/17 16:30:00+00,618324688,
397422.719999999,140620.84,24424082,2024/10/25 00:21:33+00,EVENING,OTHERS,THEFT/OTHER,3500 - 3599 BLOCK OF 13TH STREET NW,397422.72,140620.84,1,1A,4,408,Cluster 2,002900 2,002900,Precinct 42,38.9334670206,-77.0297253272,,2024/10/22 15:18:00+00,2024/10/22 15:20:00+00,618324689,
401135.369999997,135773.350000001,24422047,2024/06/06 11:22:19+00,DAY,OTHERS,THEFT/OTHER,1300 - 1399 BLOCK OF EAST CAPITOL STREET,401135.37,135773.35,6,6A,1,108,Cluster 26,008002 2,008002,Precinct 86,38.8898022329,-76.9869131065,,2024/05/10 16:00:00+00,2024/05/10 23:00:00+00,618324690,
399765.600000001,137802.800000001,24422143,2024/06/13 15:22:53+00,DAY,OTHERS,THEFT/OTHER,200 - 299 BLOCK OF FLORIDA AVENUE NE,399765.6,137802.8,5,5F,5,501,Cluster 23,008702 3,008702,Precinct 75,38.9080849512,-77.0027025147,NOMA,2024/06/07 22:10:00+00,2024/06/09 22:10:00+00,618324691,
396171.049999997,137945.800000001,24008163,2024/01/17 13:50:02+00,DAY,OTHERS,THEFT/OTHER,1 - 7 BLOCK OF DUPONT CIRCLE NW,396171.05,137945.8,2,2B,2,208,Cluster 6,005502 3,005502,Precinct 14,38.9093648355,-77.0441466713,DUPONT CIRCLE,2024/01/17 12:32:00+00,2024/01/17 12:37:00+00,618324697,
